<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;20190109;140000;194.6900000;194.7900000;194.0300000;194.3800000;4406450
SBER;60;20190109;150000;194.3800000;195.4000000;193.8500000;195.2500000;8688600
SBER;60;20190109;160000;195.2500000;195.8900000;195.0000000;195.8400000;10362660
SBER;60;20190109;170000;195.7800000;196.8900000;195.7800000;196.4300000;12824930
SBER;60;20190109;180000;196.4200000;197.0000000;196.3500000;196.7000000;5487800
SBER;60;20190109;190000;196.7000000;197.0000000;196.4800000;197.0000000;6160730
SBER;60;20190110;110000;196.3000000;196.3000000;195.5100000;195.8700000;7322980
SBER;60;20190110;120000;195.8500000;196.3000000;195.0300000;195.7400000;8361260
SBER;60;20190110;130000;195.7200000;197.4900000;195.6700000;196.9400000;8304530
SBER;60;20190110;140000;196.9400000;197.6400000;196.9200000;197.3000000;5091860
SBER;60;20190110;150000;197.3400000;197.5800000;196.6300000;196.7500000;3984340
SBER;60;20190110;160000;196.7500000;197.0500000;195.7200000;196.1000000;4899300
SBER;60;20190110;170000;196.1000000;196.9100000;196.1000000;196.2000000;2757070
SBER;60;20190110;180000;196.1800000;196.4000000;195.7500000;196.0300000;5182530
SBER;60;20190110;190000;196.0500000;197.0500000;196.0200000;196.7500000;10307780
SBER;60;20190111;110000;197.1300000;197.9900000;196.2300000;197.0700000;8698870
SBER;60;20190111;120000;197.1000000;198.8000000;196.1200000;198.5400000;14658730
SBER;60;20190111;130000;198.6000000;198.9500000;198.1300000;198.5700000;5383170
SBER;60;20190111;140000;198.5700000;198.9600000;197.9000000;198.3500000;6174940
SBER;60;20190111;150000;198.3000000;198.3300000;197.3500000;197.5400000;5486410
SBER;60;20190111;160000;197.5400000;197.7700000;197.2000000;197.4200000;2938520
SBER;60;20190111;170000;197.3700000;197.4200000;195.8100000;195.9300000;8011300
SBER;60;20190111;180000;195.9700000;196.5300000;195.6100000;195.8800000;5301070
SBER;60;20190111;190000;195.8800000;196.8000000;195.8000000;196.8000000;6990660
SBER;60;20190114;110000;195.6800000;195.7000000;194.2400000;194.7300000;7744940
SBER;60;20190114;120000;194.7300000;195.0000000;194.3800000;194.4900000;4144970
SBER;60;20190114;130000;194.5300000;194.9000000;194.1000000;194.1000000;3929240
SBER;60;20190114;140000;194.1000000;194.6500000;194.0000000;194.5900000;4011740
SBER;60;20190114;150000;194.5900000;195.1000000;194.5000000;195.0200000;2852560
SBER;60;20190114;160000;195.0000000;195.7700000;194.8300000;195.5100000;3870510
SBER;60;20190114;170000;195.5000000;196.2500000;195.4000000;196.0000000;5321800
SBER;60;20190114;180000;196.0000000;196.9800000;195.7200000;196.4600000;5801930
SBER;60;20190114;190000;196.5100000;197.4400000;196.5100000;196.8000000;6965830
SBER;60;20190115;110000;197.3900000;198.0100000;197.1500000;197.7700000;8010990
SBER;60;20190115;120000;197.7700000;198.8400000;197.7600000;198.3600000;7921700
SBER;60;20190115;130000;198.3600000;198.4800000;196.7700000;197.0000000;7163120
SBER;60;20190115;140000;197.0000000;197.4800000;196.8300000;197.1000000;3847940
SBER;60;20190115;150000;197.0500000;197.5700000;196.3400000;196.4300000;3751930
SBER;60;20190115;160000;196.4500000;197.0700000;195.9100000;196.4000000;4278780
SBER;60;20190115;170000;196.4400000;196.8800000;196.2000000;196.3200000;2468110
SBER;60;20190115;180000;196.3100000;197.9000000;196.1500000;197.6000000;5639170
SBER;60;20190115;190000;197.6000000;198.3500000;197.3600000;198.0000000;9913050
SBER;60;20190116;110000;198.6400000;199.6700000;198.0200000;199.1200000;9241320
SBER;60;20190116;120000;199.1200000;200.1700000;198.7500000;199.5900000;9322350
SBER;60;20190116;130000;199.6100000;199.9000000;199.3000000;199.4700000;5528810
SBER;60;20190116;140000;199.4500000;199.5000000;198.6200000;199.2000000;4516610
SBER;60;20190116;150000;199.2100000;199.7800000;199.0700000;199.5100000;3069710
SBER;60;20190116;160000;199.5100000;199.9000000;199.0000000;199.7000000;4751730
SBER;60;20190116;170000;199.6700000;200.1000000;199.0400000;199.8600000;6265740
SBER;60;20190116;180000;199.8600000;201.3000000;199.8400000;201.1300000;13319290
SBER;60;20190116;190000;201.1200000;201.2600000;200.6500000;201.2600000;6376830
SBER;60;20190117;110000;201.6700000;202.1700000;201.4500000;201.5700000;8277270
SBER;60;20190117;120000;201.5900000;203.4100000;201.0500000;203.1000000;12290800
SBER;60;20190117;130000;203.1100000;203.5500000;202.1200000;202.3500000;9068500
SBER;60;20190117;140000;202.3500000;203.3000000;202.3300000;202.9800000;4933790
SBER;60;20190117;150000;202.9500000;203.2500000;202.6500000;203.0900000;3332420
SBER;60;20190117;160000;203.0900000;203.1600000;201.7100000;201.9100000;5926340
SBER;60;20190117;170000;201.9000000;202.4800000;201.8100000;202.3300000;3243490
SBER;60;20190117;180000;202.2900000;202.8100000;201.2300000;202.5500000;6726240
SBER;60;20190117;190000;202.5600000;203.3200000;202.2500000;203.3200000;6028760
SBER;60;20190118;110000;204.6000000;205.5000000;204.3200000;204.7400000;11740620
SBER;60;20190118;120000;204.7100000;205.7800000;204.2000000;205.2900000;8778920
SBER;60;20190118;130000;205.1900000;205.4100000;204.7200000;205.3800000;2620570
SBER;60;20190118;140000;205.3600000;205.6400000;204.2300000;204.5300000;5740860
SBER;60;20190118;150000;204.5500000;205.2500000;203.8300000;205.1500000;5794880
SBER;60;20190118;160000;205.1500000;205.5000000;204.7700000;205.1500000;5717820
SBER;60;20190118;170000;205.1500000;205.9500000;205.1000000;205.8200000;5641490
SBER;60;20190118;180000;205.8200000;207.8000000;205.5300000;207.7800000;13452920
SBER;60;20190118;190000;207.7600000;208.4400000;207.3400000;208.4400000;14671340
SBER;60;20190121;110000;208.9200000;209.5500000;207.7000000;208.6300000;13120930
SBER;60;20190121;120000;208.6300000;208.7000000;207.4400000;207.5700000;5706170
SBER;60;20190121;130000;207.5700000;207.8900000;207.3900000;207.5200000;2755940
SBER;60;20190121;140000;207.5600000;208.8600000;207.5200000;208.6500000;5069250
SBER;60;20190121;150000;208.6400000;209.2300000;208.3700000;208.9000000;4251840
SBER;60;20190121;160000;208.9100000;210.2000000;208.9000000;209.7300000;8315430
SBER;60;20190121;170000;209.7700000;209.9900000;209.4500000;209.4600000;3203500
SBER;60;20190121;180000;209.4600000;209.8100000;207.7100000;207.9600000;6618060
SBER;60;20190121;190000;207.9500000;208.5000000;207.1700000;207.1700000;6360510
SBER;60;20190122;110000;206.6500000;208.4300000;205.6300000;206.7500000;10403230
SBER;60;20190122;120000;206.7500000;208.3700000;206.2100000;207.8300000;6984590
SBER;60;20190122;130000;207.8200000;208.8800000;206.6200000;207.0100000;6365260
SBER;60;20190122;140000;207.0100000;207.3700000;206.7400000;206.8100000;2249840
SBER;60;20190122;150000;206.8500000;207.0000000;205.7900000;206.3300000;4896360
SBER;60;20190122;160000;206.3300000;207.6800000;206.2000000;207.0300000;3996050
SBER;60;20190122;170000;207.0000000;207.7800000;206.5300000;206.7900000;2213990
SBER;60;20190122;180000;206.8200000;207.6700000;206.3500000;207.6600000;3595410
SBER;60;20190122;190000;207.6000000;207.9500000;206.2700000;207.9500000;10564890
SBER;60;20190123;110000;207.7500000;209.5500000;207.5200000;209.4900000;11384850
SBER;60;20190123;120000;209.4400000;209.4800000;208.5000000;209.2100000;7048620
SBER;60;20190123;130000;209.1900000;209.9900000;208.8200000;209.8500000;9521380
SBER;60;20190123;140000;209.8500000;211.7700000;209.5300000;211.1400000;15428340
SBER;60;20190123;150000;211.0800000;211.5300000;210.4200000;211.4900000;7593210
SBER;60;20190123;160000;211.4100000;212.0000000;211.1200000;211.5100000;5612130
SBER;60;20190123;170000;211.5200000;211.9100000;210.1200000;211.0100000;8083700
SBER;60;20190123;180000;211.0100000;211.7800000;210.9400000;211.0200000;7120310
SBER;60;20190123;190000;211.0000000;211.2000000;210.1100000;210.4000000;7836640
SBER;60;20190124;110000;210.4000000;210.4000000;208.5500000;209.7400000;14543560
SBER;60;20190124;120000;209.7400000;211.4400000;209.5000000;211.0200000;10919530
SBER;60;20190124;130000;211.0200000;213.1000000;210.6500000;213.0200000;13648370
SBER;60;20190124;140000;213.0400000;213.4300000;211.9100000;212.2300000;7326110
SBER;60;20190124;150000;212.1600000;212.5500000;211.5700000;212.5000000;5931570
SBER;60;20190124;160000;212.5000000;212.5900000;211.8300000;212.2400000;3482930
SBER;60;20190124;170000;212.2300000;213.1200000;211.1800000;211.5600000;8281250
SBER;60;20190124;180000;211.6000000;212.3500000;211.4000000;211.9400000;6904430
SBER;60;20190124;190000;211.9300000;212.3900000;211.5600000;212.2000000;7275140
SBER;60;20190125;110000;212.7700000;214.1400000;212.7700000;213.7500000;10092170
SBER;60;20190125;120000;213.7200000;213.9700000;213.1000000;213.4600000;5065590
SBER;60;20190125;130000;213.4800000;213.6000000;212.4000000;212.6700000;9082720
SBER;60;20190125;140000;212.7400000;213.4500000;212.4400000;213.1800000;4521080
SBER;60;20190125;150000;213.1800000;213.4000000;212.8800000;212.9800000;2606540
SBER;60;20190125;160000;212.9800000;213.1500000;212.5100000;213.0100000;3868110
SBER;60;20190125;170000;213.0500000;213.8800000;213.0000000;213.1100000;6435490
SBER;60;20190125;180000;213.1100000;213.5000000;212.0900000;212.8500000;6974050
SBER;60;20190125;190000;212.8300000;212.8800000;211.0100000;212.0000000;9854270
SBER;60;20190128;110000;212.0000000;213.1000000;211.2300000;213.1000000;7632260
SBER;60;20190128;120000;213.0900000;213.3000000;211.5500000;211.9400000;5950880
SBER;60;20190128;130000;211.9600000;212.1400000;210.7500000;211.4500000;5027710
SBER;60;20190128;140000;211.4000000;211.9300000;211.2600000;211.7900000;2927060
SBER;60;20190128;150000;211.7400000;212.4300000;211.7100000;211.9100000;3472290
SBER;60;20190128;160000;211.9100000;212.4600000;211.8100000;211.9500000;2202610
SBER;60;20190128;170000;211.9200000;212.3000000;211.0600000;211.3900000;3615140
SBER;60;20190128;180000;211.3900000;211.5900000;208.2300000;208.5400000;14209000
SBER;60;20190128;190000;208.5500000;209.7000000;207.6300000;209.7000000;11347980
SBER;60;20190129;110000;209.7100000;209.7100000;207.5000000;207.7200000;9204220
SBER;60;20190129;120000;207.7500000;208.8900000;206.9100000;208.8400000;7600920
SBER;60;20190129;130000;208.8400000;209.6500000;208.6000000;209.5000000;6430830
SBER;60;20190129;140000;209.4900000;210.5300000;209.0000000;210.1700000;5241780
SBER;60;20190129;150000;210.1500000;210.4000000;209.5000000;210.4000000;2324240
SBER;60;20190129;160000;210.3600000;210.5200000;209.6300000;209.8200000;2880690
SBER;60;20190129;170000;209.8200000;211.2000000;209.8100000;210.9600000;5350460
SBER;60;20190129;180000;210.9600000;213.3000000;210.9600000;212.9400000;11824230
SBER;60;20190129;190000;212.9200000;214.4900000;212.2100000;213.6100000;13038820
SBER;60;20190130;110000;213.8000000;215.0800000;213.1000000;214.8500000;10897820
SBER;60;20190130;120000;214.8400000;215.7000000;214.3000000;215.2200000;8848760
SBER;60;20190130;130000;215.2000000;215.2800000;213.3500000;213.9900000;8449330
SBER;60;20190130;140000;214.0000000;214.5500000;213.6500000;214.2300000;3391170
SBER;60;20190130;150000;214.2300000;215.1000000;213.8000000;214.8500000;5054190
SBER;60;20190130;160000;214.8500000;214.9000000;214.1500000;214.1500000;3201230
SBER;60;20190130;170000;214.2200000;214.3000000;213.5500000;213.8200000;4723710
SBER;60;20190130;180000;213.8200000;214.4900000;213.2300000;213.3300000;5196000
SBER;60;20190130;190000;213.3300000;213.3300000;212.2200000;213.1400000;9519450
SBER;60;20190131;110000;215.1700000;216.7100000;214.6700000;216.3100000;17109880
SBER;60;20190131;120000;216.3200000;218.0400000;215.9700000;217.0800000;18199150
SBER;60;20190131;130000;217.1100000;217.6500000;216.3700000;217.2500000;8222090
SBER;60;20190131;140000;217.2700000;217.4900000;216.6100000;217.1000000;5001550
SBER;60;20190131;150000;217.1700000;218.1000000;216.9000000;217.6400000;7230510
SBER;60;20190131;160000;217.6400000;217.7800000;216.9500000;217.2000000;3824920
SBER;60;20190131;170000;217.2300000;217.7900000;217.0400000;217.2200000;3416390
SBER;60;20190131;180000;217.2400000;217.4600000;216.5800000;217.3300000;7565330
SBER;60;20190131;190000;217.3300000;217.9000000;216.8800000;217.9000000;9559250
SBER;60;20190201;110000;217.9900000;218.4400000;217.0500000;217.6100000;7684560
SBER;60;20190201;120000;217.6200000;218.7000000;216.1000000;216.4900000;12131980
SBER;60;20190201;130000;216.4000000;217.2500000;216.2800000;217.0400000;3883340
SBER;60;20190201;140000;217.0400000;217.3500000;216.6600000;217.2500000;3209430
SBER;60;20190201;150000;217.3100000;217.4600000;216.3400000;216.5300000;2447100
SBER;60;20190201;160000;216.5300000;216.8400000;215.9300000;216.3100000;4636930
SBER;60;20190201;170000;216.2800000;216.5600000;215.2200000;216.2500000;8342120
SBER;60;20190201;180000;216.1800000;216.4500000;215.0100000;215.3400000;7377180
SBER;60;20190201;190000;215.4300000;216.2900000;215.3500000;216.2900000;5685810
SBER;60;20190204;110000;216.2500000;217.1400000;215.4500000;216.3300000;7269100
SBER;60;20190204;120000;216.3800000;216.7500000;215.0600000;215.5700000;5530220
SBER;60;20190204;130000;215.5700000;216.2000000;215.0700000;215.5700000;5167900
SBER;60;20190204;140000;215.5000000;216.6000000;215.3900000;216.1500000;4492640
SBER;60;20190204;150000;216.1700000;216.6500000;215.8800000;216.2400000;2915340
SBER;60;20190204;160000;216.2100000;216.2800000;215.5800000;215.9900000;3032540
SBER;60;20190204;170000;216.0000000;216.0000000;215.3800000;215.7100000;3012280
SBER;60;20190204;180000;215.7100000;215.9400000;215.1300000;215.9000000;4611500
SBER;60;20190204;190000;215.8900000;215.9000000;215.2600000;215.5000000;4843010
SBER;60;20190205;110000;216.0000000;216.2000000;214.6100000;215.2100000;5657010
SBER;60;20190205;120000;215.2800000;217.3600000;215.2000000;216.8100000;10104670
SBER;60;20190205;130000;216.8100000;218.4000000;216.6600000;217.7800000;10652070
SBER;60;20190205;140000;217.8200000;218.5500000;217.6600000;218.0300000;5656460
SBER;60;20190205;150000;218.0500000;218.1900000;217.6100000;217.6100000;2639810
SBER;60;20190205;160000;217.6100000;218.1000000;217.3300000;217.8300000;2445770
SBER;60;20190205;170000;217.8100000;217.9300000;217.1700000;217.7600000;2656460
SBER;60;20190205;180000;217.7800000;218.3200000;217.4200000;218.1200000;3402940
SBER;60;20190205;190000;218.1200000;218.1200000;217.6000000;217.8500000;3373870
SBER;60;20190206;110000;217.9200000;218.1500000;215.7100000;215.8600000;9607750
SBER;60;20190206;120000;215.9000000;216.8000000;215.7100000;216.2000000;6441980
SBER;60;20190206;130000;216.2000000;216.3600000;215.4100000;215.5700000;5135340
SBER;60;20190206;140000;215.5100000;216.4400000;215.4700000;216.0300000;3010990
SBER;60;20190206;150000;216.0300000;216.7900000;215.8900000;216.3300000;3174060
SBER;60;20190206;160000;216.3500000;217.3400000;216.2200000;217.0000000;3056570
SBER;60;20190206;170000;216.9600000;217.6400000;216.8100000;217.4100000;3621080
SBER;60;20190206;180000;217.3600000;217.9900000;216.9000000;217.3600000;6122430
SBER;60;20190206;190000;217.3200000;217.3200000;216.1800000;216.5900000;5969330
SBER;60;20190207;110000;216.0000000;216.5800000;215.0500000;215.8100000;6791860
SBER;60;20190207;120000;215.7900000;216.6500000;215.7400000;216.3100000;4753120
SBER;60;20190207;130000;216.3200000;216.5500000;214.8800000;215.2200000;8276310
SBER;60;20190207;140000;215.2500000;215.6000000;213.6600000;213.9200000;11769180
SBER;60;20190207;150000;213.9300000;213.9500000;212.5100000;213.1600000;11049820
SBER;60;20190207;160000;213.1800000;213.3800000;212.2500000;212.6800000;3839550
SBER;60;20190207;170000;212.6800000;213.1400000;212.1000000;212.2400000;5467790
SBER;60;20190207;180000;212.2000000;212.4500000;211.0000000;211.5700000;10019930
SBER;60;20190207;190000;211.5100000;211.7000000;210.6000000;211.0100000;7187660
SBER;60;20190208;110000;209.9900000;210.6400000;208.7000000;210.5900000;11193260
SBER;60;20190208;120000;210.5600000;211.5600000;209.6400000;211.5300000;7458010
SBER;60;20190208;130000;211.5300000;211.9300000;210.3300000;210.5700000;6525220
SBER;60;20190208;140000;210.6100000;210.7300000;209.8200000;210.5400000;5162330
SBER;60;20190208;150000;210.5400000;210.8900000;210.1300000;210.4000000;3117560
SBER;60;20190208;160000;210.4000000;211.1500000;210.1800000;211.0700000;4145620
SBER;60;20190208;170000;211.1100000;211.3700000;210.2700000;210.5700000;3404890
SBER;60;20190208;180000;210.5700000;210.7300000;209.5000000;209.9300000;5276640
SBER;60;20190208;190000;209.9300000;210.4300000;209.3100000;210.4300000;5197150
SBER;60;20190211;110000;211.0000000;213.2000000;210.8000000;212.9600000;10502680
SBER;60;20190211;120000;212.9200000;214.7200000;212.2600000;214.3800000;12611030
SBER;60;20190211;130000;214.3800000;214.7000000;213.7500000;214.0800000;5204700
SBER;60;20190211;140000;214.0600000;214.4700000;213.3200000;213.7200000;3799950
SBER;60;20190211;150000;213.7600000;213.8500000;213.0500000;213.6500000;3067300
SBER;60;20190211;160000;213.6500000;213.8100000;213.2700000;213.5300000;2082850
SBER;60;20190211;170000;213.5400000;214.1400000;213.4500000;214.0000000;1840660
SBER;60;20190211;180000;214.0300000;214.2800000;213.3500000;213.9200000;5273670
SBER;60;20190211;190000;213.9200000;214.1900000;213.2200000;214.0000000;5214310
SBER;60;20190212;110000;214.7300000;215.4300000;214.6000000;214.9400000;7232920
SBER;60;20190212;120000;214.9400000;216.1400000;214.9000000;215.8000000;8431070
SBER;60;20190212;130000;215.7900000;216.9100000;215.4600000;216.6200000;8609630
SBER;60;20190212;140000;216.6600000;217.4700000;216.3100000;217.1800000;6924130
SBER;60;20190212;150000;217.1600000;218.0600000;216.9700000;217.9000000;7391150
SBER;60;20190212;160000;217.9000000;218.0000000;217.2000000;217.7700000;4322670
SBER;60;20190212;170000;217.7700000;218.3800000;217.5700000;218.2800000;9092270
SBER;60;20190212;180000;218.3300000;219.4000000;218.2800000;219.0400000;12623150
SBER;60;20190212;190000;219.0400000;219.4500000;218.9000000;219.1000000;8897370
SBER;60;20190213;110000;219.6000000;220.7000000;219.1100000;219.9700000;12868000
SBER;60;20190213;120000;219.9600000;220.0000000;216.2400000;216.2600000;18889840
SBER;60;20190213;130000;216.3000000;217.1900000;214.8600000;215.5700000;13875690
SBER;60;20190213;140000;215.5000000;216.1200000;214.1400000;214.4900000;8882070
SBER;60;20190213;150000;214.5700000;215.4600000;214.0500000;215.0100000;7003460
SBER;60;20190213;160000;215.0100000;215.3300000;214.3100000;214.7300000;3345510
SBER;60;20190213;170000;214.6800000;214.7000000;213.3100000;213.8700000;7967470
SBER;60;20190213;180000;213.8400000;214.4000000;213.1000000;213.8400000;6458270
SBER;60;20190213;190000;213.8800000;214.0900000;213.3000000;213.9000000;5752420
SBER;60;20190214;110000;208.5000000;209.8500000;206.4100000;208.1100000;30254980
SBER;60;20190214;120000;208.1400000;208.8500000;205.4100000;206.8700000;33568340
SBER;60;20190214;130000;206.8900000;207.5200000;206.1000000;206.2000000;10376500
SBER;60;20190214;140000;206.2400000;207.3700000;206.1300000;207.2900000;4629160
SBER;60;20190214;150000;207.2700000;207.9200000;206.7400000;207.1500000;5841590
SBER;60;20190214;160000;207.1300000;207.4500000;205.6200000;205.6600000;9418870
SBER;60;20190214;170000;205.6500000;205.9600000;203.0500000;203.2400000;24493600
SBER;60;20190214;180000;203.2900000;204.5000000;201.7000000;204.3700000;23004280
SBER;60;20190214;190000;204.3700000;205.0000000;203.3600000;204.4300000;13280490
SBER;60;20190215;110000;205.9400000;208.4900000;205.5200000;207.8700000;27701140
SBER;60;20190215;120000;207.9000000;208.0000000;206.4100000;207.2800000;13872150
SBER;60;20190215;130000;207.2900000;208.2000000;206.9100000;207.7800000;5338060
SBER;60;20190215;140000;207.7500000;208.2000000;207.1800000;207.9200000;5025030
SBER;60;20190215;150000;207.9800000;208.3700000;207.4000000;207.4900000;2764230
SBER;60;20190215;160000;207.4400000;207.7000000;207.0200000;207.6900000;2459290
SBER;60;20190215;170000;207.6900000;208.5000000;207.5000000;208.4800000;4916770
SBER;60;20190215;180000;208.4800000;209.0000000;207.5700000;207.7600000;9039660
SBER;60;20190215;190000;207.7600000;208.1000000;207.3000000;208.0000000;7756310
SBER;60;20190218;110000;208.7000000;209.7300000;204.9500000;206.9000000;16926440
SBER;60;20190218;120000;206.8600000;207.2500000;205.3100000;206.0400000;10208020
SBER;60;20190218;130000;206.0600000;206.2500000;203.2000000;203.4400000;17536120
SBER;60;20190218;140000;203.5100000;204.6900000;203.2000000;203.9200000;7361250
SBER;60;20190218;150000;204.1000000;204.9000000;204.0300000;204.5600000;3159190
SBER;60;20190218;160000;204.5700000;205.2000000;203.5000000;203.6400000;7831470
SBER;60;20190218;170000;203.6900000;204.4800000;203.5300000;204.2900000;5403370
SBER;60;20190218;180000;204.2500000;204.7000000;204.1200000;204.6800000;2407470
SBER;60;20190218;190000;204.6700000;204.6700000;204.0700000;204.1900000;5535320
SBER;60;20190219;110000;203.6000000;205.1000000;202.6700000;204.5900000;10562390
SBER;60;20190219;120000;204.5900000;205.6000000;203.8600000;204.6100000;10338720
SBER;60;20190219;130000;204.6400000;204.9000000;203.1100000;204.1500000;4487940
SBER;60;20190219;140000;204.1200000;204.6000000;203.5300000;204.3700000;3937620
SBER;60;20190219;150000;204.3100000;204.5000000;203.3000000;203.5500000;4811760
SBER;60;20190219;160000;203.5400000;204.0300000;203.3500000;203.5300000;2305100
SBER;60;20190219;170000;203.5300000;203.6100000;201.1000000;201.5600000;13942450
SBER;60;20190219;180000;201.6100000;202.7700000;201.4000000;202.2500000;8592000
SBER;60;20190219;190000;202.2200000;202.6400000;201.6800000;202.0800000;7650350
SBER;60;20190220;110000;203.9000000;205.7300000;203.5000000;205.4500000;14568880
SBER;60;20190220;120000;205.5100000;206.1300000;204.6300000;205.0700000;14083810
SBER;60;20190220;130000;205.0300000;205.2500000;203.5100000;204.0800000;6964580
SBER;60;20190220;140000;204.0400000;204.7000000;203.5400000;203.9400000;3367670
SBER;60;20190220;150000;203.9200000;204.6000000;203.2300000;204.5700000;4104440
SBER;60;20190220;160000;204.5700000;205.5000000;204.0000000;205.2500000;7106190
SBER;60;20190220;170000;205.2500000;205.4000000;204.8000000;204.9000000;2626810
SBER;60;20190220;180000;204.8800000;205.9000000;204.6100000;205.6700000;5482900
SBER;60;20190220;190000;205.6800000;206.8900000;205.5000000;206.8900000;8308930
SBER;60;20190221;110000;207.5600000;207.8400000;205.8500000;207.5200000;9837520
SBER;60;20190221;120000;207.5100000;207.8700000;205.8900000;205.9000000;7359990
SBER;60;20190221;130000;205.9000000;206.4000000;204.4500000;204.7200000;10603140
SBER;60;20190221;140000;204.7500000;204.8200000;203.1500000;204.1400000;9526560
SBER;60;20190221;150000;204.1500000;204.5200000;203.3100000;203.9300000;5966700
SBER;60;20190221;160000;203.9200000;204.6000000;203.4500000;203.4600000;3686580
SBER;60;20190221;170000;203.5000000;204.1500000;203.0600000;203.8800000;4029320
SBER;60;20190221;180000;203.8600000;204.3000000;202.4000000;202.6700000;10690020
SBER;60;20190221;190000;202.6300000;203.4100000;202.3000000;203.4100000;6359120
SBER;60;20190222;110000;203.6200000;204.9500000;203.0300000;204.5000000;7424510
SBER;60;20190222;120000;204.5500000;205.3000000;204.1200000;205.3000000;6073310
SBER;60;20190222;130000;205.2900000;206.1000000;205.0100000;205.9900000;6651890
SBER;60;20190222;140000;205.9600000;205.9900000;204.6100000;205.5000000;4714810
SBER;60;20190222;150000;205.5000000;205.5500000;204.6500000;205.1300000;2437620
SBER;60;20190222;160000;205.1700000;205.6500000;205.0500000;205.5000000;3041520
SBER;60;20190222;170000;205.5000000;205.6500000;204.7600000;204.9900000;3276340
SBER;60;20190222;180000;205.0300000;205.2000000;203.7400000;204.3800000;6143540
SBER;60;20190222;190000;204.3900000;205.2500000;204.2300000;205.2500000;5973800
SBER;60;20190225;110000;205.5000000;207.6000000;205.4600000;207.1400000;12297210
SBER;60;20190225;120000;207.2000000;207.8500000;206.8500000;207.5900000;7714660
SBER;60;20190225;130000;207.6500000;208.6000000;207.6400000;208.1900000;7732660
SBER;60;20190225;140000;208.1900000;208.4100000;207.4000000;207.7800000;5064590
SBER;60;20190225;150000;207.7400000;208.2200000;207.4500000;207.6000000;2553800
SBER;60;20190225;160000;207.5700000;207.6000000;204.6300000;204.9400000;15481870
SBER;60;20190225;170000;204.9900000;205.3300000;204.2000000;204.9200000;8706230
SBER;60;20190225;180000;204.9800000;206.4000000;204.9100000;205.5600000;7890970
SBER;60;20190225;190000;205.5000000;205.8600000;205.0300000;205.8600000;3318680
SBER;60;20190226;110000;204.8000000;205.3200000;203.6400000;204.7900000;7271700
SBER;60;20190226;120000;204.7900000;204.8500000;203.2800000;203.4500000;10168390
SBER;60;20190226;130000;203.4700000;204.2800000;202.9000000;203.6300000;7613990
SBER;60;20190226;140000;203.6000000;204.1000000;203.3000000;203.9000000;3655150
SBER;60;20190226;150000;203.9000000;204.5000000;203.5300000;204.3000000;3880770
